"cpi","year"
0.271070200283229,1947
0.291867287072628,1948
0.28900465304471,1949
0.29207970867894,1950
0.315274125025288,1951
0.322476229010722,1952
0.324924135140603,1953
0.326097511632612,1954
0.32525794052195,1955
0.330052599635849,1956
0.341250252882865,1957
0.350566457616832,1958
0.353833704228201,1959
0.359113898442242,1960
0.362957717985029,1961
0.367226380740441,1962
0.371838964191786,1963
0.37675500708072,1964
0.382702812057455,1965
0.394143232854542,1966
0.405118349180659,1967
0.422314383977342,1968
0.445276148088205,1969
0.47147481286668,1970
0.491401982601659,1971
0.50748533279385,1972
0.53924742059478,1973
0.598624317216265,1974
0.65334816912806,1975
0.691078292534898,1976
0.735787983006271,1977
0.791927978960146,1978
0.881043900465305,1979
1,1980
1.10378312765527,1981
1.1717580416751,1982
1.20878009306089,1983
1.26158203520129,1984
1.30608941938094,1985
1.33147885899251,1986
1.37912199069391,1987
1.43566659923124,1988
1.50445073841796,1989
1.58598017398341,1990
1.65284240339875,1991
1.70311551689258,1992
1.75369208982399,1993
1.79921100546227,1994
1.84968642524782,1995
1.90400566457617,1996
1.94851304875582,1997
1.97865668622294,1998
2.0220513857981,1999
2.09012745296379,2000
2.14899858385596,2001
2.18328950030346,2002
2.23346146065143,2003
2.29304066356464,2004
2.37022051385798,2005
2.44659113898442,2006
2.51682176815699,2007
2.61283734574145,2008
2.6044669229213,2009
2.64709083552498,2010
2.73020028322881,2011
2.78680254905928,2012
2.82765628161036,2013
2.87333603075056,2014
2.8768167104997,2015
2.9132763503945,2016
2.97537123204532,2017
3.04793344123002,2018
3.10313372445883,2019
3.14187639085576,2020
3.28908051790411,2021
3.43585879020838,2022
